 Morbidade Hospitalar do SUS - por local de residência - Brasil
Internações por Município e Ano atendimento
Lista Morb  CID-10: Dengue [dengue clásssico]
Período:Jan/2008-Set/2025
"Município";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"Total"
"130260 MANAUS";35;804;185;550;1631;195;386;93;109;88;41;30;37;173;530;126;65;63;11;5152
"130270 MANICORE";-;-;-;-;-;1;-;-;1;-;-;-;1;-;1;5;5;2;2;18
"130280 MARAA";-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;6;-;1;20
"130290 MAUES";-;-;-;19;20;-;5;-;60;117;15;5;-;1;2;-;2;2;1;249
"130310 NOVA OLINDA DO NORTE";-;-;-;1;6;-;-;-;-;-;-;-;-;-;1;-;-;-;-;8
"130320 NOVO AIRAO";-;-;-;1;1;-;-;-;-;-;-;-;-;-;23;12;5;4;3;49
"130330 NOVO ARIPUANA";-;1;-;-;-;-;1;-;11;-;-;-;-;-;1;-;-;2;2;18
"130340 PARINTINS";-;7;2;2;-;-;-;-;5;-;1;-;-;-;1;-;2;8;1;29
"130350 PAUINI";-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"130353 PRESIDENTE FIGUEIREDO";-;-;2;5;18;3;5;1;3;4;-;-;1;10;6;1;-;1;5;65
"130356 RIO PRETO DA EVA";-;2;-;1;8;-;1;-;-;-;-;-;1;-;-;1;-;2;1;17
"130360 SANTA ISABEL DO RIO NEGRO";-;-;2;4;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;9
"130370 SANTO ANTONIO DO ICA";-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;2;-;5
"130380 SAO GABRIEL DA CACHOEIRA";-;-;-;9;3;-;-;-;-;-;-;3;4;7;-;-;-;3;-;29
"130390 SAO PAULO DE OLIVENCA";-;-;-;-;-;-;-;-;2;-;-;-;-;-;2;23;28;4;5;64
"130395 SAO SEBASTIAO DO UATUMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;1;1;-;5
"130400 SILVES";-;-;-;3;-;-;-;1;1;1;-;-;1;-;-;-;-;-;-;7
"130406 TABATINGA";-;-;-;-;1;3;6;9;7;1;1;-;3;4;6;18;17;-;-;76
"130410 TAPAUA";-;3;-;-;-;-;-;-;8;13;13;-;-;1;59;63;22;1;-;183
"130420 TEFE";-;-;-;7;23;2;27;20;21;6;8;5;6;3;7;3;69;10;1;218
"130423 TONANTINS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;20;19;3;44
"130426 UARINI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2
"130430 URUCARA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"130440 URUCURITUBA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"140002 AMAJARI";-;2;2;5;1;2;1;-;-;-;-;-;-;1;-;-;-;-;-;14
"140005 ALTO ALEGRE";-;73;17;67;61;72;4;1;4;1;-;-;4;-;-;-;1;-;-;305
